user,pid,status,timestamp
3,9690,1,102102
4,6675,1,115442
5,5942,1,117468
3,5079,0,115508
3,10494,0,116324
3,10022,0,107704
4,7887,1,117003
5,6541,1,106402
4,3424,1,102125
5,3571,0,112972
5,11969,1,105251
5,5330,0,112167
5,7083,1,104122
2,10197,0,113979
5,492,1,113422
4,10920,1,118561
3,1119,1,100657
1,3212,1,112543
5,9654,1,106873
5,2251,1,110282
1,7750,1,115195
5,9969,0,113746
5,5193,0,108698
1,8694,1,118422
2,8622,1,109588
4,5737,0,102180
1,10180,1,110981
2,549,0,111305
2,11618,1,112882
5,11890,1,109260
3,259,0,112196
2,10047,0,119307
5,591,1,107460
4,10766,0,117088
1,4760,1,111150
5,5504,0,112061
4,3468,1,111335
2,9438,1,106378
4,6990,0,106393
5,8087,1,115696
5,7037,0,104911
2,5622,0,101425
5,11734,0,100490
5,8699,1,102649
5,5726,1,111894
3,622,0,115804
4,7778,0,117763
2,3769,0,103899
1,4605,0,117027
5,10584,1,101598
1,4393,0,105247
4,3572,0,114349
1,11944,1,104126
5,10667,0,104415
1,10499,1,117454
1,5797,0,113990
2,11639,1,112126
1,5884,1,100048
3,7752,0,109182
2,7070,1,119554
2,4436,0,119967
4,9862,0,103619
1,10604,1,108832
5,1660,0,107580
5,4044,0,117995
1,2715,0,106826
2,2152,0,116184
5,6287,1,102954
2,7675,1,115355
2,2303,0,100364
1,2864,0,101603
3,10372,0,101574
3,7938,0,105944
2,4251,0,114599
2,3721,1,116024
5,11174,0,109746
4,105,1,114646
3,10366,0,109351
5,6112,0,101019
4,11800,0,104324
1,857,0,113669
5,4124,0,116167
2,3849,0,117058
2,5175,0,109474
4,3262,1,101322
4,7710,1,101587
1,307,0,117140
4,7011,1,118497
5,10327,1,102646
2,6781,0,110042
5,11998,1,102647
3,8989,1,115279
1,2927,0,102850
3,643,1,117908
2,4149,1,116549
3,8934,0,109742
2,5793,0,115432
5,1426,1,100271
5,11,1,110950
3,5460,1,119309
5,6490,1,111607
4,1333,1,100206
2,2216,1,108929
5,11572,0,115350
3,1847,1,113978
3,9058,1,114455
1,5512,0,109928
5,11019,0,102493
2,4085,1,114893
5,3812,0,116513
5,6286,0,110081
2,11987,1,103957
4,11540,1,114854
5,9887,0,100559
2,11959,0,117328
2,11685,1,110105
3,4861,0,116546
4,2872,0,113153
1,3764,1,106092
1,11997,1,113039
4,108,1,110430
5,5273,0,119928
4,9806,1,101654
5,11532,1,103575
5,9786,0,119260
1,2152,0,106594
1,4973,0,113300
2,11552,1,104787
5,2188,1,118954
3,5433,0,100501
1,5194,1,110511
4,11726,1,102411
3,8019,1,115564
2,6807,0,116712
3,2343,0,117200
2,10795,0,102485
5,869,1,106900
5,9595,1,116397
5,5893,1,110375
1,351,0,110973
2,920,0,113297
3,10657,0,110864
3,9654,1,102127
3,11310,1,104092
1,2307,1,106880
1,421,0,102567
2,10499,1,110466
3,8578,0,116000
3,2502,0,112289
1,10596,0,115929
3,4896,0,116223
4,5747,0,115252
5,4151,1,106944
4,5265,1,110067
3,6696,0,108905
2,5114,0,107617
2,2622,1,104060
3,8956,1,100374
5,8559,1,103896
4,6695,1,106072
5,3541,0,108460
1,221,1,105667
2,5441,0,119778
3,8178,0,111204
3,8349,0,116990
5,6688,0,113215
3,3898,0,116114
2,1717,1,109872
1,9699,0,119953
1,8644,1,111426
4,10824,1,102726
3,11099,1,112406
3,3674,0,114641
2,233,0,102703
1,4072,0,104470
3,9361,0,112092
2,4138,1,118945
2,1149,0,119963
5,8982,0,111267
3,1963,0,103837
5,3103,0,119212
5,3245,1,111179
1,10028,0,103338
2,5762,0,103299
5,6918,0,118099
1,8928,0,109146
4,123,0,101005
1,11049,1,107384
4,9626,1,104300
1,1293,0,115816
5,1920,0,100415
5,6784,0,101391
2,10683,1,108985
5,3692,1,110139
2,8136,0,118076
2,5271,0,107670
1,11354,1,100199
4,8146,1,114872
3,7997,1,115026
5,2030,1,108964
3,1466,1,103500
3,934,1,102371
1,8166,1,110754
3,2076,0,117968
2,3779,0,118449
2,1414,1,101471
3,5452,0,113242
4,2498,0,101438
2,3230,0,105329
3,8912,0,115157
3,8502,0,109693
3,7727,0,104415
5,3006,0,108874
5,10721,1,108739
3,1705,1,114150
3,9351,0,114220
3,5918,0,107033
